"Horário", "Ocorrências"
'00:00:00', 19999+ ocorrencias (tem EAD)
'1:00:00',  1 ocorrencia
'01:00:00', 327 ocorrencias
'02:00:00', 699 ocorrencias
'03:00:00', 1098 ocorrencias
'04:00:00', 903 ocorrencias
'05:00:00', 1591 ocorrencias
'06:00:00', 139 ocorrencias
'07:00:00', 18471 ocorrencias
'07:15:00', 9502 ocorrencias
'07:30:00', 387 ocorrencias
'07:50:00', 1 ocorrencia
'08:00:00', 2784 ocorrencias
'08:15:00', 808 ocorrencias
'08:40:00', 7053 ocorrencias
'08:41:00', 64 ocorrencias
'09:00:00', 19999+ ocorrencias
'09:15:00', 8590 ocorrencias
'09:20:00', 2 ocorrencias
'09:25:00', 8923 ocorrencias
'09:30:00', 130 ocorrencias
'09:50:00', 5 ocorrencias
'10:00:00', 1236 ocorrencias
'10:10:00', 84 ocorrencias 
'10:25:00', 466 ocorrencias
'11:00:00', 11950 ocorrencias
'11:25:00', 8630 ocorrencias
'12:00:00', 2102 ocorrencias
'12:15:00', 361 ocorrecias
'13:00:00', 19999+ ocorrencias
'13:15:00', 13869 ocorrencias
'13:30:00', 196 ocorrencias
'14:00:00', 1592 ocorrencias
'14:15:00', 927 ocorrencias
'14:30:00', 1 ocorrencia
'14:40:00', 5965 ocorrencias
'15:00:00', 19999+ ocorrencias
'15:15:00', 12471 ocorrencias
'15:25:00', 11991 ocorrencias
'15:30:00', 256 ocorrencias
'15:40:00', 154 ocorrencias
'16:00:00', 324 ocorrencias
'16:10:00', 1 ocorrencia
'16:20:00', 359 ocorrencias
'16:25:00', 294 ocorrencias
'16:30:00', 36 ocorrencias
'17:00:00', 16246 ocorrencias
'17:20:00', 104 ocorrencias
'17:25:00', 11577 ocorrencias
'17:30:00', 416 ocorrencias
'18:00:00', 1357 ocorrencias
'18:10:00', 175 ocorrencias
'18:30:00', 13856 ocorrencias
'19:00:00', 19999+ ocorrencias
'19:30:00', 257 ocorrencias
'19:40:00', 196 ocorrencias
'20:00:00', 681 ocorrencias
'20:10:00', 8 ocorrencias
'20:30:00', 11994 ocorrencias
'20:40:00', 19999+ ocorrencias 
'20:50:00', 1 ocorrencia
'21:00:00', 199999+ ocorrencias
'21:30:00', 337 ocorrencias
'21:40:00', 486 ocorrencias
'22:00:00', 705 ocorrencias
'22:30:00', 1688 ocorrencias
